audio_name,yt_link
REMASTERED Yunchan Lim 임윤찬 – RACHMANINOV Piano Concerto No 3 in D Minor op 30,https://www.youtube.com/watch?v=GvKQKnIVy1I
Seong-Jin Cho – Piano Concerto in E minor Op 11 (final stage of the Chopin Competition 2015),https://www.youtube.com/watch?v=614oSsDS734
BRUCE (XIAOYU) LIU – final round (18th Chopin Competition Warsaw),https://www.youtube.com/watch?v=UcOjKXIR8Iw
Tchaikovsky Piano Concerto No 1 FULL / Martha Argerich piano - Charles Dutoit conductor,https://www.youtube.com/watch?v=ItSJ_woWnmk
TCHAIKOVSKY ~ Piano Concerto No. 1 in B-flat minor - LANG LANG / Järvi,https://www.youtube.com/watch?v=Ybg2BEy_pu0
Martha Argerich - Rachmaninov Piano Concerto No. 3,https://www.youtube.com/watch?v=f6vARZLkaSY
P. I. Tchaikovsky - Violin Concerto in D major　Itzhak　Perlman,https://www.youtube.com/watch?v=QCKL95HAdQ8
Ray Chen Mendelssohn Violin Concerto in E minor Op. 64,https://www.youtube.com/watch?v=I03Hs6dwj7E
Ray Chen SIBELIUS Violin Concerto in D minor Op. 47,https://www.youtube.com/watch?v=3u-unvYedx8
Janine Jansen - Mendelssohn Violin Concerto in E minor Op. 64,https://www.youtube.com/watch?v=Pmj7nCRYNs4
David Oistrakh & Igor Oistrakh - Mozart Sinfonia Concertante K364,https://www.youtube.com/watch?v=Is1iKnLnRK0
David Oistrakh - Brahms Violin Concerto in D Major Op. 77,https://www.youtube.com/watch?v=RFkSiNp4CRQ
Yunchan Lim 임윤찬 – MOZART Piano Concerto No. 22 in E-flat Major K. 482 – 2022 Cliburn Competition,https://www.youtube.com/watch?v=P9eEbEfEqoU
Yunchan Lim 임윤찬 – LISZT 12 Transcendental Etudes – Semifinal Round Recital–2022 ,https://www.youtube.com/watch?v=KsGLmrR0BVs
Yunchan Lim - F. Liszt : Liebestraume No. 3,https://www.youtube.com/watch?v=1s5IM_IqKHA
Arthur Rubinstein Live Recital Warsaw 1966. Schumann Carnaval Op 9. AI Colorize 1080p 60fps.,https://www.youtube.com/watch?v=3FmK5q8XXxE
Chopin: Piano Concerto No. 2 in F minor Op. 21 / Lang Lang,https://www.youtube.com/watch?v=IxxSh9rlo_8
Martha Argerich plays Chopin Concerto No. 1 (2010),https://www.youtube.com/watch?v=gV_x_QY1P5c
MARTÍN GARCÍA GARCÍA – final round (18th Chopin Competition Warsaw),https://www.youtube.com/watch?v=KAo0AVuXTbU
Seong-Jin Cho : Ravel Piano Concerto in G major & Encore (20230429 Boston US),https://www.youtube.com/watch?v=hXTyxNccdjM
