audio_name,clap_start,clap_end,music_start,music_end,end_clap_start,end_clap_end,audio_end
audio0,0,11,32,2551,2553,2602,2607.16
audio1,0,22,34,2418,2419,2451.75,2451.75
audio2,0,17,41,2423,2424,2488.09,2488.09
audio3,0,15,35,2017,2018,2096.62,2096.62
audio4,0,5,13,2128,2129,2191.2,2191.2
audio5,34,49,60,2480,2481,2547,2554.71
audio6,5,40,49,2180,2182,2189.5,2190.18
audio7,0,16,20,1712,1714,1767.36,1767.36
audio8,0,16,31,1947,1948,2048.23,2048.23
audio9,15,21,32,1665,1667,1847.66,1847.66
audio10,0,30,64,1992,1994,2061,2062.28
audio11,0,32,55,2390,2391,2431,2432.45
audio12,0,14,30,2262,2264,2288.93,2288.93
audio13,3,10,12,3970,3974,4043,4048.86
audio14,0,35,38,384,386,398.8,398.8
audio15,0,19,30,1557,1558,1579.77,1579.77
audio16,16,48,57,1984,1985,2059,2080.37
audio17,0,31,41,2399,2401,2432.85,2432.85
audio18,0,20,41,1990,1994,2072.06,2072.06
audio19,0,26,44,1660,1662,1681.57,1681.57
