Model,Accuracy (Train),Accuracy (Test),F1 (Train),F1 (Test),Precision (Train),Precision (Test),Recall (Train),Recall (Test)
SVC,0.9904985775893028,0.9894396223541951,0.9904516972588429,0.9893704482204997,0.995373965632313,0.994969696969697,0.9855802182145401,0.9838989898989899
ExtraTreesClassifier,1.0,0.9808969087863559,1.0,0.9808807536411738,1.0,0.9810957287295761,1.0,0.9808989898989899
LinearDiscriminantAnalysis,0.977923186699601,0.9773666311354752,0.9782096978536206,0.9777040079646939,0.9656936325148644,0.9649587173181446,0.9910573281841699,0.990939393939394
DecisionTreeClassifier,1.0,0.9829018831531394,1.0,0.9829688415229724,1.0,0.9801075342828401,1.0,0.985909090909091
KNeighborsClassifier,0.9901631322389151,0.9859220344144968,0.9901134893543977,0.9858425851805113,0.9951462046502634,0.9909375442698909,0.9851327909214753,0.9808989898989898
RandomForestClassifier,1.0,0.9919572610527384,1.0,0.9919444698161755,1.0,0.991969496949695,1.0,0.991949494949495
MLPClassifier,0.9975408377077798,0.995474848992437,0.9975348872339473,0.9954518263621794,0.9998877665544332,0.996989898989899,0.9951934060715134,0.9939595959595959
AdaBoostClassifier,1.0,0.9934597228567078,1.0,0.9934569818637098,1.0,0.992999599959996,1.0,0.993949494949495
NuSVC,0.9442769126037142,0.9426628089944673,0.9448659592301027,0.9432934332927105,0.9349974879368291,0.9342861108013981,0.9549516953495056,0.9527373737373738
GaussianNB,0.951486895397385,0.951225826100198,0.9519920612186787,0.9517485643897066,0.9421977405715939,0.9419918190760341,0.9619949258245537,0.9618181818181817
